Name,Symptom,Age,Gender,Back,Chest,Triceps,Bicep/Forearm,Quadriceps,Hamstrings/Glutes,Calf/Abductor,Core/Ab,Shoulder,Mobility
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,dumbbel-trap-raise,dumbbel-pullover","machine-chest-press,incline-machine-chest-press,cable-crossover,incline-dumbbell-chest-press,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-rope-extension,tricep-pushdown","incline-bicep-curl,concentration-curl,seated-hammer-curl,seated-dumbbell-curl,reverse-dumbbell-curl","mini-squat,leg-lift,leg-extension,step-up,bodyweight-squat","standing-hip-hinge,clamshell,donkey-kick,side-lying-leg-lift,hip-bridge","seated-calf-raise,lying-side-leg-raise,calf-press,crab-walk,machine-abduction","crunch,plank,side-plank,bicycle-crunch,cable-crunch","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-front-raise,pike-push-up","double-knee-to-chest,knee-stretch,knee-extension,quadracep-stretch,ankle-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,dumbbel-trap-raise,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,incline-dumbbell-chest-press,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-rope-extension,dumbbell-devil","incline-bicep-curl,concentration-curl,seated-hammer-curl,seated-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,leg-extension,step-up,walking-lunge","standing-hip-hinge,clamshell,donkey-kick,side-lying-leg-lift,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,calf-press,crab-walk,standing-calf-raise","crunch,plank,side-plank,bicycle-crunch,bird-dog","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-front-raise,military-press","double-knee-to-chest,knee-stretch,knee-extension,quadracep-stretch,wall-sit"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,seated-face-pull,single-arm-lat-pull-down,dumbbell-pullover","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-pullover,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,diamond-push-up,tricep-pushdown","incline-bicep-curl,concentration-curl,seated-hammer-curl,dumbbell-preacher-curl,reverse-dumbbell-curl","mini-squat,leg-lift,leg-extension,kettlebell-squat,bodyweight-squat","standing-hip-hinge,clamshell,donkey-kick,fire-hydrant,hip-bridge","seated-calf-raise,lying-side-leg-raise,calf-press,reverse-calf-raise,machine-abduction","crunch,plank,side-plank,high-knee,cable-crunch","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,seated-barbell-shoulder-press,pike-push-up","double-knee-to-chest,knee-stretch,knee-extension,wall-slide,ankle-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,single-arm-lat-pull-down,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-pullover,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,diamond-push-up,dumbbell-devil","incline-bicep-curl,concentration-curl,seated-hammer-curl,dumbbell-preacher-curl,assisted-chin-up","mini-squat,leg-lift,leg-extension,kettlebell-squat,walking-lunge","standing-hip-hinge,clamshell,donkey-kick,fire-hydrant,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,calf-press,reverse-calf-raise,standing-calf-raise","crunch,plank,side-plank,high-knee,bird-dog","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,seated-barbell-shoulder-press,military-press","double-knee-to-chest,knee-stretch,knee-extension,wall-slide,wall-sit"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,seated-face-pull,dumbbell-pullover,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,bench-chest-press,push-up","seated-tricep-overhead-extension,lying-tricep-extension,tricep-pushdown,dumbbell-devil","incline-bicep-curl,concentration-curl,seated-hammer-curl,reverse-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,leg-extension,bodyweight-squat,walking-lunge","standing-hip-hinge,clamshell,donkey-kick,hip-bridge,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,calf-press,machine-abduction,standing-calf-raise","crunch,plank,side-plank,cable-crunch,bird-dog","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,pike-push-up,military-press","double-knee-to-chest,knee-stretch,knee-extension,ankle-stretch,wall-sit"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,back-extension,assisted-pull-up,dumbbell-trap-raise","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,machine-fly,incline-dumbbell-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-bench-dip,tricep-rope-extension","incline-bicep-curl,concentration-curl,wrist-curl,cable-curl,seated-dumbbell-curl","mini-squat,leg-lift,leg-raise,quad-squeeze,step-up","standing-hip-hinge,clamshell,glute-ham-raise,seated-leg-curl,side-lying-leg-lift","seated-calf-raise,lying-side-leg-raise,hip-hitch,donkey-calf-raise,crab-walk","crunch,plank,dead-bug,russian-twist,bicycle-crunch","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,dumbbell-front-raise,cable-front-raise","double-knee-to-chest,knee-stretch,hamstring-stretch,leg-adduction,quadracep-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,back-extension,assisted-pull-up,single-arm-lat-pull-down","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,machine-fly,dumbbell-pullover","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-bench-dip,diamond-push-up","incline-bicep-curl,concentration-curl,wrist-curl,cable-curl,dumbbel-preacher-curl","mini-squat,leg-lift,leg-raise,quad-squeeze,kettlebell-squat","standing-hip-hinge,clamshell,glute-ham-raise,seated-leg-curl,fire-hydrant","seated-calf-raise,lying-side-leg-raise,hip-hitch,donkey-calf-raise,reverse-calf-raise","crunch,plank,dead-bug,russian-twist,high-knee","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,dumbbell-front-raise,seated-barbell-shoulder-press","double-knee-to-chest,knee-stretch,hamstring-stretch,leg-adduction,wall-slide"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,back-extension,assisted-pull-up,dumbbell-pullover","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,machine-fly,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-bench-dip,tricep-pushdown","incline-bicep-curl,concentration-curl,wrist-curl,cable-curl,reverse-dumbbel-curl","mini-squat,leg-lift,leg-raise,quad-squeeze,bodyweight-squat","standing-hip-hinge,clamshell,glute-ham-raise,seated-leg-curl,hip-bridge","seated-calf-raise,lying-side-leg-raise,hip-hitch,donkey-calf-raise,machine-abduction","crunch,plank,dead-bug,russian-twist,cable-crunch","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,dumbbell-front-raise,pike-push-up","double-knee-to-chest,knee-stretch,hamstring-stretch,leg-adduction,ankle-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,back-extension,assisted-pull-up,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,machine-fly,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-bench-dip,dumbbell-devil","incline-bicep-curl,concentration-curl,wrist-curl,cable-curl,assisted-chin-up","mini-squat,leg-lift,leg-raise,quad-squeeze,walking-lunge","standing-hip-hinge,clamshell,glute-ham-raise,seated-leg-curl,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,hip-hitch,donkey-calf-raise,standing-calf-raise","crunch,plank,dead-bug,russian-twist,bird-dog","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,dumbbell-front-raise,military-press","double-knee-to-chest,knee-stretch,hamstring-stretch,leg-adduction,wall-sit"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,back-extension,dumbbell-trap-raise,single-arm-lat-pull-down","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,incline-dumbbell-chest-press,dumbbell-pullover","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-rope-extension,diamond-push-up","incline-bicep-curl,concentration-curl,wrist-curl,seated-dumbbell-curl,dumbbel-preacher-curl","mini-squat,leg-lift,leg-raise,step-up,kettlebell-squat","standing-hip-hinge,clamshell,glute-ham-raise,side-lying-leg-lift,fire-hydrant","seated-calf-raise,lying-side-leg-raise,hip-hitch,crab-walk,reverse-calf-raise","crunch,plank,dead-bug,bicycle-crunch,high-knee","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,cable-front-raise,seated-barbell-shoulder-press","double-knee-to-chest,knee-stretch,hamstring-stretch,quadracep-stretch,wall-slide"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,back-extension,dumbbell-trap-raise,dumbbell-pullover","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,incline-dumbbell-chest-press,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-rope-extension,tricep-pushdown","incline-bicep-curl,concentration-curl,wrist-curl,seated-dumbbell-curl,reverse-dumbbel-curl","mini-squat,leg-lift,leg-raise,step-up,bodyweight-squat","standing-hip-hinge,clamshell,glute-ham-raise,side-lying-leg-lift,hip-bridge","seated-calf-raise,lying-side-leg-raise,hip-hitch,crab-walk,machine-abduction","crunch,plank,dead-bug,bicycle-crunch,cable-crunch","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,cable-front-raise,pike-push-up","double-knee-to-chest,knee-stretch,hamstring-stretch,quadracep-stretch,ankle-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,back-extension,dumbbell-trap-raise,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,incline-dumbbell-chest-press,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-rope-extension,dumbbell-devil","incline-bicep-curl,concentration-curl,wrist-curl,seated-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,leg-raise,step-up,walking-lunge","standing-hip-hinge,clamshell,glute-ham-raise,side-lying-leg-lift,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,hip-hitch,crab-walk,standing-calf-raise","crunch,plank,dead-bug,bicycle-crunch,bird-dog","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,cable-front-raise,military-press","double-knee-to-chest,knee-stretch,hamstring-stretch,quadracep-stretch,wall-sit"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,back-extension,single-arm-lat-pull-down,dumbbell-pullover","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,dumbbell-pullover,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,diamond-push-up,tricep-pushdown","incline-bicep-curl,concentration-curl,wrist-curl,seated-dumbbell-curl,reverse-dumbbel-curl","mini-squat,leg-lift,leg-raise,kettlebell-squat,bodyweight-squat","standing-hip-hinge,clamshell,glute-ham-raise,fire-hydrant,hip-bridge","seated-calf-raise,lying-side-leg-raise,hip-hitch,reverse-calf-raise,machine-abduction","crunch,plank,dead-bug,high-knee,cable-crunch","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,seated-barbell-shoulder-press,pike-push-up","double-knee-to-chest,knee-stretch,hamstring-stretch,wall-slde,ankle-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,back-extension,single-arm-lat-pull-down,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,dumbbell-pullover,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,diamond-push-up,dumbbell-devil","incline-bicep-curl,concentration-curl,wrist-curl,seated-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,leg-raise,kettlebell-squat,walking-lunge","standing-hip-hinge,clamshell,glute-ham-raise,fire-hydrant,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,hip-hitch,reverse-calf-raise,standing-calf-raise","crunch,plank,dead-bug,high-knee,bird-dog","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,seated-barbell-shoulder-press,military-press","double-knee-to-chest,knee-stretch,hamstring-stretch,wall-slde,wall-sit"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,back-extension,dumbbell-pullover,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,dumbbell-chest-press,bench-chest-press,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,close-grip-press,tricep-pushdown,dumbbell-devil","incline-bicep-curl,concentration-curl,wrist-curl,reverse-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,leg-raise,bodyweight-squat,walking-lunge","standing-hip-hinge,clamshell,glute-ham-raise,hip-bridge,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,hip-hitch,machine-abduction,standing-calf-raise","crunch,plank,dead-bug,cable-crunch,bird-dog","machine-shoulder-press,seated-lateral-raise,cable-lateral-raise,pike-push-up,military-press","double-knee-to-chest,knee-stretch,hamstring-stretch,ankle-stretch,wall-sit"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,assisted-pull-up,dumbbell-trap-raise,single-arm-lat-pull-down","machine-chest-press,incline-machine-chest-press,machine-fly,incline-dumbbell-chest-press,dumbbell-pullover","seated-tricep-overhead-extension,dumbbell-skull-crusher,tricep-bench-dip,tricep-rope-extension,diamond-push-up","incline-bicep-curl,concentration-curl,cable-curl,seated-dumbbell-curl,dumbbel-preacher-curl","mini-squat,leg-lift,quad-squeeze,step-up,kettlebell-squat","standing-hip-hinge,clamshell,seated-leg-curl,side-lying-leg-lift,fire-hydrant","seated-calf-raise,lying-side-leg-raise,donkey-calf-raise,crab-walk,reverse-calf-raise","crunch,plank,russian-twist,bicycle-crunch,high-knee","machine-shoulder-press,seated-lateral-raise,dumbbell-front-raise,cable-front-raise,seated-barbell-shoulder-press","double-knee-to-chest,knee-stretch,leg-adduction,quadracep-stretch,wall-slide"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,assisted-pull-up,dumbbell-trap-raise,dumbbell-pullover","machine-chest-press,incline-machine-chest-press,machine-fly,incline-dumbbell-chest-press,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,tricep-bench-dip,tricep-rope-extension,tricep-pushdown","incline-bicep-curl,concentration-curl,cable-curl,seated-dumbbell-curl,reverse-dumbbell-curl","mini-squat,leg-lift,quad-squeeze,step-up,bodyweight-squat","standing-hip-hinge,clamshell,seated-leg-curl,side-lying-leg-lift,hip-bridge","seated-calf-raise,lying-side-leg-raise,donkey-calf-raise,crab-walk,machine-abduction","crunch,plank,russian-twist,bicycle-crunch,cable-crunch","machine-shoulder-press,seated-lateral-raise,dumbbell-front-raise,cable-front-raise,pike-push-up","double-knee-to-chest,knee-stretch,leg-adduction,quadracep-stretch,ankle-stretch"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,assisted-pull-up,dumbbell-trap-raise,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,machine-fly,incline-dumbbell-chest-press,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,tricep-bench-dip,tricep-rope-extension,dumbbell-devil","incline-bicep-curl,concentration-curl,cable-curl,seated-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,quad-squeeze,step-up,walking-lunge","standing-hip-hinge,clamshell,seated-leg-curl,side-lying-leg-lift,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,donkey-calf-raise,crab-walk,standing-calf-raise","crunch,plank,russian-twist,bicycle-crunch,bird-dog","machine-shoulder-press,seated-lateral-raise,dumbbell-front-raise,cable-front-raise,military-press","double-knee-to-chest,knee-stretch,leg-adduction,quadracep-stretch,wall-sit"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,assisted-pull-up,single-arm-lat-pull-down,dumbell-pullover","machine-chest-press,incline-machine-chest-press,machine-fly,dumbbell-pullover,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,tricep-bench-dip,diamond-push-up,tricep-pushdown","incline-bicep-curl,concentration-curl,cable-curl,dumbbell-preacher-curl,reverse-dumbbell-curl","mini-squat,leg-lift,quad-squeeze,kettlebell-squat,bodyweight-squat","standing-hip-hinge,clamshell,seated-leg-curl,fire-hydrant,hip-bridge","seated-calf-raise,lying-side-leg-raise,donkey-calf-raise,reverse-calf-raise,machine-abduction","crunch,plank,russian-twist,high-knee,cable-crunch","machine-shoulder-press,seated-lateral-raise,dumbbell-front-raise,seated-barbell-shoulder-press,pike-push-up","double-knee-to-chest,knee-stretch,leg-adduction,wall-slide,ankle-stretch"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,assisted-pull-up,single-arm-lat-pull-down,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,machine-fly,dumbbell-pullover,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,tricep-bench-dip,diamond-push-up,dumbbell-devil","incline-bicep-curl,concentration-curl,cable-curl,dumbbell-preacher-curl,assisted-chin-up","mini-squat,leg-lift,quad-squeeze,kettlebell-squat,walking-lunge","standing-hip-hinge,clamshell,seated-leg-curl,fire-hydrant,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,donkey-calf-raise,reverse-calf-raise,standing-calf-raise","crunch,plank,russian-twist,high-knee,bird-dog","machine-shoulder-press,seated-lateral-raise,dumbbell-front-raise,seated-barbell-shoulder-press,military-press","double-knee-to-chest,knee-stretch,leg-adduction,wall-slide,wall-sit"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,assisted-pull-up,dumbbell-pullover,staight-arm-pull-down","machine-chest-press,incline-machine-chest-press,machine-fly,bench-chest-press,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,tricep-bench-dip,tricep-pushdown,dumbbell-devil","incline-bicep-curl,concentration-curl,cable-curl,reverse-dumbbell-curl,assisted-chin-up","mini-squat,leg-lift,quad-squeeze,bodyweight-squat,walking-lunge","standing-hip-hinge,clamshell,seated-leg-curl,hip-bridge,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,donkey-calf-raise,machine-abduction,standing-calf-raise","crunch,plank,russian-twist,cable-crunch,bird-dog","machine-shoulder-press,seated-lateral-raise,dumbbell-front-raise,pike-push-up,military-press","double-knee-to-chest,knee-stretch,leg-adduction,ankle-stretch,wall-sit"
